filename, marker, isBubble, minX, minY, maxX, maxY, pixCount, xRange, yRange, isAreaLessThanMax, isAreaMoreThanMin, isXLessThanMax, isYLessThanMax, isRegionEnclosed, isPixCountMoreThanMin, isDistBtwCentersLessThanMax, distBtwCenters, blkPixPercent, sumPix, sdHoriz, sdVert, sdPix, enclosed, percentEnclosed, percentArea, histH_1,histH_2,histH_3,histH_4,histH_5,histH_6,histH_7,histH_8,histH_9,histH_10,histV_1,histV_2,histV_3,histV_4,histV_5,histV_6,histV_7,histV_8,histV_9,histV_10,histR_1,histR_2,histR_3,histR_4,histR_5,histR_6,histR_7,histR_8,histR_9,histR_10,histR_11,histR_12,histR_13,histR_14,histR_15,histR_16,histR_17,histR_18,histR_19,histR_20,histR_21,histR_22,histR_23,histR_24
"0670_020_01.jpg", 2,true, 11, 8, 301, 204, 41705, 291, 197, 1, 1, 1, 1, 1, 1, 1, 13.647344063956181, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.44890528096222515, 2508, 1041, 1152, 1017, 2372, 1395, 192, 1299, 2586, 0, 0, 627, 1779, 2344, 2093, 1110, 1082, 2326, 2201, 0, 0, 0, 0, 0, 0, 0, 81, 88, 116, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"0670_020_01.jpg", 3,false, 95, 227, 219, 347, 5923, 125, 121, 0, 0, 0, 0, 0, 0, 0, 5.5901699437494745, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.1184379502599762, 255, 177, 244, 428, 604, 426, 368, 265, 254, 0, 657, 489, 303, 394, 197, 192, 291, 271, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0
"0670_020_02.jpg", 2,true, 85, 9, 282, 151, 21047, 198, 143, 1, 1, 1, 1, 1, 1, 1, 19.026297590440446, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.21222342147868323, 198, 169, 362, 294, 27, 269, 535, 168, 239, 0, 15, 174, 306, 366, 327, 399, 57, 144, 473, 0, 0, 0, 159, 111, 92, 68, 46, 24, 22, 19, 18, 17, 18, 18, 20, 25, 32, 47, 66, 68, 0, 0, 0, 0
"0670_020_02.jpg", 3,false, 8, 10, 137, 304, 18629, 130, 295, 0, 0, 0, 0, 0, 0, 0, 31.196954979612993, 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.7833579517479075, 0.2874467829945434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 61, 67, 84, 116, 146, 142, 63, 14, 15, 18, 18
"0670_020_02.jpg", 4,false, 176, 228, 217, 283, 1731, 42, 56, 0, 0, 0, 0, 0, 0, 0, 10.04987562112089, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.0176290699766145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 61, 65, 87, 108, 0, 232, 55, 29, 20, 17, 15, 15, 15, 17, 22, 25, 22, 22, 22, 25, 30, 42, 73
"0670_020_03.jpg", 2,true, 6, 8, 216, 303, 35689, 211, 296, 1, 1, 1, 1, 1, 1, 1, 19.72941965694886, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.2722699333013645, 668, 1005, 795, 870, 991, 1240, 2228, 963, 1164, 0, 828, 1947, 1332, 483, 975, 1038, 360, 1581, 1380, 0, 42, 46, 49, 57, 49, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 47, 48
"0670_020_03.jpg", 3,false, 243, 3, 555, 231, 41787, 313, 229, 1, 1, 1, 1, 1, 1, 1, 24.413111231467404, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.31246784951392825, 885, 1083, 770, 1290, 2102, 2726, 1610, 1966, 909, 0, 0, 369, 2547, 2640, 2076, 633, 1863, 1947, 1266, 0, 5, 7, 9, 5, 4, 4, 3, 4, 4, 9, 11, 0, 15, 4, 4, 3, 4, 20, 0, 113, 107, 5, 4, 5
"0670_020_03.jpg", 4,false, 234, 146, 251, 174, 353, 18, 29, 0, 0, 0, 0, 0, 0, 0, 2.0615528128088303, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.002275600505689001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 12, 7, 5, 4, 4, 4, 4, 4, 5, 6, 10, 10, 10, 11, 13, 18, 35
"0670_020_04.jpg", 2,false, 247, 11, 467, 220, 28432, 221, 210, 1, 1, 1, 1, 1, 1, 1, 5.5901699437494745, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.19389366555536058, 1794, 1749, 754, 646, 824, 462, 879, 168, 1844, 0, 9, 1357, 1529, 1060, 1427, 545, 858, 1224, 1111, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0
"0670_020_04.jpg", 3,true, 13, 8, 197, 202, 24801, 185, 195, 1, 1, 1, 1, 1, 1, 1, 7.3824115301167, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.1507156644022761, 728, 931, 645, 1220, 690, 438, 713, 498, 349, 0, 0, 0, 0, 0, 39, 1266, 1694, 1619, 1594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"0670_020_04.jpg", 4,false, 359, 326, 421, 349, 1308, 63, 24, 0, 0, 0, 0, 0, 0, 0, 17.507141400011598, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.0063168977013511145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 78, 39, 27, 22, 20, 19, 19, 10, 8, 6, 6, 6, 6, 6, 8, 10, 20
"0670_020_05.jpg", 2,false, 275, 12, 559, 209, 37769, 285, 198, 1, 1, 1, 1, 1, 1, 1, 13.892443989449804, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.2397094430992736, 2452, 1088, 595, 267, 2641, 2472, 657, 381, 1673, 0, 51, 542, 2077, 2344, 2369, 1533, 550, 1402, 1358, 0, 56, 0, 0, 0, 28, 23, 21, 20, 20, 20, 23, 36, 31, 33, 28, 32, 37, 39, 10, 10, 9, 10, 41, 32
"0670_020_05.jpg", 3,false, 115, 59, 194, 117, 1899, 80, 59, 0, 0, 0, 0, 0, 0, 0, 22.005681084665387, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.020050125313283207, 181, 109, 139, 172, 189, 211, 127, 10, 60, 0, 222, 87, 102, 87, 162, 111, 177, 123, 127, 0, 7, 39, 23, 15, 12, 12, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 10, 9, 7, 7
"0670_020_05.jpg", 4,false, 433, 228, 534, 286, 1901, 102, 59, 0, 0, 0, 0, 0, 0, 0, 25.80697580112788, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.02556390977443609, 42, 249, 180, 0, 9, 0, 75, 186, 93, 0, 36, 39, 60, 117, 123, 144, 174, 66, 75, 0, 53, 39, 22, 16, 13, 11, 10, 11, 12, 16, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
"0670_020_05.jpg", 5,true, 8, 279, 177, 402, 15845, 170, 124, 1, 1, 1, 1, 1, 1, 1, 7.5, 0.0, 0.0, 0.0, 0.0, 0.0, true, 1.0, 0.08954589864491738, 159, 0, 77, 100, 141, 6, 0, 51, 72, 0, 0, 0, 0, 0, 0, 0, 0, 19, 587, 0, 11, 12, 14, 19, 26, 35, 35, 126, 140, 111, 91, 81, 78, 80, 34, 25, 21, 19, 19, 19, 21, 19, 13, 12
"0670_020_06.jpg", 2,false, 271, 41, 287, 58, 172, 17, 18, 0, 0, 0, 0, 0, 0, 0, 6.726812023536855, 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.8125, 0.0012336968572983652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 33, 22, 18, 17, 15, 17, 25, 30, 43, 62, 43, 10, 11, 12, 10, 9, 9, 9, 10, 12, 16, 31
